jobTitle,salary
Machine Learning Scientist,225000
Applied Data Scientist,110037
Machine Learning Developer,100000
Research Scientist,91264
Data Science Consultant,76874.25
Computer Vision Software Engineer,70000
Machine Learning Engineer,59611.16667
Business Data Analyst,59102
Data Analyst,58242.66667
Data Engineer,53915.6
