bin,count
"2,000-31,999",0.09 
"32,000-61,999",0.31 
"62,000-91,999",0.22 
"92,000-121,999",0.25 
"122,000-151,999",0.09 
"152,000-181,999",0.00 
"182,000-211,999",0.00 
"212,000-241,999",0.00 
"242,000-271,999",0.00 
"422,000-451,999",0.03 
