bin,count
"2,000-31,999",0.01 
"32,000-61,999",0.03 
"62,000-91,999",0.11 
"92,000-121,999",0.23 
"122,000-151,999",0.25 
"152,000-181,999",0.19 
"182,000-211,999",0.11 
"212,000-241,999",0.05 
"242,000-271,999",0.02 
"272,000-301,999",0.00 
"362,000-391,999",0.01 
"392,000-421,999",0.01 
