bin,count
"2,000-31,999",0.36 
"32,000-61,999",0.17 
"62,000-91,999",0.32 
"92,000-121,999",0.11 
"122,000-151,999",0.02 
"212,000-241,999",0.02 
"242,000-271,999",0.00 
