jobTitle,salary
Data Analytics Lead,405000
Principal Data Engineer,328333.3333
Financial Data Analyst,275000
Principal Data Scientist,215242.4286
Director of Data Science,195074
Data Architect,177873.9091
Applied Data Scientist,175655
Analytics Engineer,175000
Data Specialist,165000
Head of Data,160162.6
