jobTitle,salary
Machine Learning Engineer,194000
Business Data Analyst,100000
Big Data Engineer,70000
Data Scientist,54983.33333
Data Engineer,48215.5
AI Scientist,45896
Data Analyst,44768
Research Scientist,42000
ML Engineer,15966
Data Science Consultant,5707
