bin,count
"2,000-31,999",0.11 
"32,000-61,999",0.29 
"62,000-91,999",0.19 
"92,000-121,999",0.19 
"122,000-151,999",0.10 
"152,000-181,999",0.00 
"182,000-211,999",0.04 
"212,000-241,999",0.00 
"242,000-271,999",0.03 
"272,000-301,999",0.00 
"302,000-331,999",0.01 
"362,000-391,999",0.00 
"392,000-421,999",0.01 
"422,000-451,999",0.01 
"572,000-601,999",0.00 
