jobTitle,salary
Machine Learning Scientist,260000
Data Science Manager,190200
Lead Data Scientist,190000
Data Scientist,172916.25
Principal Data Scientist,148261
Lead Data Engineer,125000
Machine Learning Manager,117104
Big Data Engineer,111535.5
Machine Learning Engineer,97809
Data Engineer,89803.33333
