bin,count
"2,000-31,999",0.21
"32,000-61,999",0.2
"62,000-91,999",0.26
"92,000-121,999",0.16
"122,000-151,999",0.08
"152,000-181,999",0.03
"182,000-211,999",0.03
"212,000-241,999",0
"242,000-271,999",0.01
"272,000-301,999",0
"302,000-331,999",0
"362,000-391,999",0
"392,000-421,999",0
"422,000-451,999",0.02
"572,000-601,999",0
