bin,count
"2,000-31,999",25.00%
"32,000-61,999",35.00%
"62,000-91,999",20.00%
"92,000-121,999",10.00%
"122,000-151,999",5.00%
"212,000-241,999",0.00%
"242,000-271,999",5.00%
