jobTitle,salary
Financial Data Analyst,450000
Data Science Manager,200000
Applied Machine Learning Scientist,178800
Data Architect,166666.6667
AI Scientist,160000
Principal Data Scientist,151000
ML Engineer,137025
Research Scientist,136498.1429
Lead Data Scientist,115000
Data Analytics Engineer,110000
