jobTitle,salary
Machine Learning Scientist,225000
Applied Data Scientist,110037
Computer Vision Software Engineer,110000
Financial Data Analyst,100000
Machine Learning Developer,100000
Machine Learning Engineer,86996.33333
Research Scientist,86132
Business Data Analyst,79551
Data Science Consultant,62640.8
Data Engineer,58933.5
