jobTitle,salary
Data Analytics Lead,405000
Applied Data Scientist,238000
Director of Data Science,196979
Head of Data Science,195937.5
Data Architect,182076.625
Analytics Engineer,175000
Data Science Manager,170196.6
Principal Data Scientist,162674
AI Scientist,160000
Computer Vision Software Engineer,150000
