jobTitle,salary
Data Analytics Lead,405000
Applied Data Scientist,278500
ML Engineer,256000
Machine Learning Scientist,201666.6667
Analytics Engineer,195000
Machine Learning Infrastructure Engineer,195000
Principal Data Engineer,192500
Principal Data Scientist,187939.4
Data Architect,182076.625
Lead Data Analyst,170000
