jobTitle,salary
Data Analytics Lead,405000
Applied Data Scientist,278500
Head of Data,200000
Analytics Engineer,195000
Data Architect,182076.625
Principal Data Scientist,162674
Data Scientist,159941.82
Data Science Manager,150327.6667
Machine Learning Engineer,147915.5833
Data Engineer,140939.5
