jobTitle,salary
Financial Data Analyst,450000
Applied Machine Learning Scientist,230700
Data Architect,166666.6667
Principal Data Scientist,151000
ML Engineer,137025
Data Analytics Engineer,110000
Head of Data Science,110000
Computer Vision Software Engineer,95746
Cloud Data Engineer,89294
Research Scientist,88127.6
