jobTitle,salary
Data Science Manager,200000
AI Scientist,160000
Applied Data Scientist,157000
Machine Learning Scientist,141766.6667
Machine Learning Engineer,103569.6
Data Scientist,99573.59091
Data Engineer,88981.19231
Machine Learning Developer,78791
Applied Machine Learning Scientist,75000
Principal Data Analyst,75000
