bin,count
"2,000-31,999",0.03 
"32,000-61,999",0.26 
"62,000-91,999",0.32 
"92,000-121,999",0.15 
"122,000-151,999",0.10 
"152,000-181,999",0.08 
"182,000-211,999",0.04 
"212,000-241,999",0.01 
"242,000-271,999",0.00 
"422,000-451,999",0.00 
