bin,count
"2,000-31,999",0.00 
"32,000-61,999",0.22 
"62,000-91,999",0.11 
"92,000-121,999",0.22 
"122,000-151,999",0.17 
"152,000-181,999",0.00 
"182,000-211,999",0.17 
"212,000-241,999",0.00 
"242,000-271,999",0.06 
"272,000-301,999",0.00 
"362,000-391,999",0.00 
"392,000-421,999",0.06 
