jobTitle,salary
Research Scientist,450000
Business Data Analyst,135000
Lead Data Scientist,115000
Data Science Consultant,103000
Data Engineer,100656.8333
BI Data Analyst,98000
Lead Data Analyst,87000
Data Scientist,71256
Data Engineering Manager,59303
Lead Data Engineer,56000
