jobTitle,salary
Financial Data Analyst,450000
Principal Data Engineer,328333.3333
Principal Data Scientist,239152.4
Applied Machine Learning Scientist,230700
Machine Learning Infrastructure Engineer,195000
Head of Data,189279.6667
Lead Data Engineer,179720
Principal Data Analyst,170000
Director of Data Science,168707.8
ML Engineer,166768.75
