jobTitle,salary
Computer Vision Software Engineer,150000
Research Scientist,120000
Financial Data Analyst,100000
Data Engineer,68238.6
Computer Vision Engineer,67500
Data Scientist,59508.2
Data Analyst,59500
Machine Learning Engineer,37300
Applied Machine Learning Scientist,31875
ML Engineer,21983
