bin,salary
"2,000-31,999",0.24 
"32,000-61,999",0.33 
"62,000-91,999",0.14 
"92,000-121,999",0.19 
"122,000-151,999",0.10 
"212,000-241,999",0.00 
"242,000-271,999",0.00 
