jobTitle,salary
Director of Data Science,325000
Machine Learning Scientist,260000
Research Scientist,246000
Data Science Manager,190200
Lead Data Scientist,152500
Principal Data Scientist,148261
Machine Learning Engineer,125389.8
Business Data Analyst,117500
Machine Learning Manager,117104
BI Data Analyst,98000
